
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-17:39:12#
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:03:21#
0, 63
1, 64
2, 66
3, 67
4, 68
5, 70
6, 70
7, 71
8, 72
9, 74
10, 76
11, 79
12, 83
13, 83
14, 83
15, 83
16, 83
17, 83
18, 84
19, 86
20, 86
21, 86
22, 86
23, 87
24, 90
25, 90
26, 91
27, 92
28, 93
29, 93
30, 93
31, 93
32, 93
33, 93
34, 93
35, 95
36, 95
37, 95
38, 95
39, 95
40, 95
41, 96
42, 96
43, 96
44, 98
45, 98
46, 98
47, 98
48, 98
49, 99
50, 99
51, 99
52, 99
53, 99
54, 99
55, 99
56, 99
57, 99
58, 99
59, 99
60, 99
61, 99
62, 99
63, 99
64, 99
65, 99
66, 99
67, 99
68, 99
69, 99
70, 99
71, 99
72, 99
73, 99
74, 99
75, 99
76, 99
77, 99
78, 99
79, 99
80, 99
81, 99
82, 99
83, 99
84, 99
85, 99
86, 99
87, 99
88, 99
89, 99
90, 99
91, 99
92, 99
93, 100
94, 100
95, 100
96, 100
97, 100
98, 100
99, 100
100, 100
101, 100
102, 100
103, 100
104, 100
105, 100
106, 100
107, 100
108, 100
109, 100
110, 100
111, 100
112, 100
113, 100
114, 100
115, 100
116, 100
117, 100
118, 100
119, 100
120, 100
121, 100
122, 100
123, 100
124, 100
125, 100
126, 100
127, 100
128, 100
129, 100
130, 100
131, 100
132, 100
133, 100
134, 100
135, 100
136, 100
137, 100
138, 100
139, 100
140, 100
141, 100
142, 100
143, 100
144, 100
145, 100
146, 100
147, 100
148, 100
149, 100
150, 100
151, 100
152, 100
153, 100
154, 100
155, 100
156, 100
157, 100
158, 100
159, 100
160, 100
161, 100
162, 100
163, 100
164, 100
165, 100
166, 100
167, 100
168, 100
169, 100
170, 100
171, 100
172, 100
173, 100
174, 100
175, 100
176, 100
177, 100
178, 100
179, 100
180, 100
181, 100
182, 100
183, 100
184, 100
185, 100
186, 100
187, 100
188, 100
189, 100
190, 100
191, 100
192, 100
193, 100
194, 100
195, 100
196, 100
197, 100
198, 100
199, 100
200, 100
201, 100
202, 100
203, 100
204, 100
205, 100
206, 100
207, 100
208, 100
209, 100
210, 100
211, 100
212, 100
213, 100
214, 100
215, 100
216, 100
217, 100
218, 100
219, 100
220, 100
221, 100
222, 100
223, 100
224, 100
225, 100
226, 100
227, 100
228, 100
229, 100
230, 100
231, 100
232, 100
233, 100
234, 100
235, 100
236, 100
237, 100
238, 100
239, 100
240, 100
241, 100
242, 100
243, 100
244, 100
245, 100
246, 100
247, 100
248, 100
249, 100
250, 100
251, 100
252, 100
253, 100
254, 100
255, 100
256, 100
257, 100
258, 100
259, 100
260, 100
261, 100
262, 100
263, 100
264, 100
265, 100
266, 100
267, 100
268, 100
269, 100
270, 100
271, 100
272, 100
273, 100
274, 100
275, 100
276, 100
277, 100
278, 100
279, 100
280, 100
281, 100
282, 100
283, 100
284, 100
285, 100
286, 100
287, 100
288, 100
289, 100
290, 100
291, 100
292, 100
293, 100
294, 100
295, 100
296, 100
297, 100
298, 100
299, 100
300, 100
301, 100
302, 100
303, 100
304, 100
305, 100
306, 100
307, 100
308, 100
309, 100
310, 100
311, 100
312, 100
313, 100
314, 100
315, 100
316, 100
317, 100
318, 100
319, 100
320, 100
321, 100
322, 100
323, 100
324, 100
325, 100
326, 100
327, 100
328, 100
329, 100
330, 100
331, 100
332, 100
333, 100
334, 100
335, 100
336, 100
337, 100
338, 100
339, 100
340, 100
341, 100
342, 100
343, 100
344, 100
345, 100
346, 100
347, 100
348, 100
349, 100
350, 100
351, 100
352, 100
353, 100
354, 100
355, 100
356, 100
357, 100
358, 100
359, 100
360, 100
361, 100
362, 100
363, 100
364, 100
365, 100
366, 100
367, 100
368, 100
369, 100
370, 100
371, 100
372, 100
373, 100
374, 100
375, 100
376, 100
377, 100
378, 100
379, 100
380, 100
381, 100
382, 100
383, 100
384, 100
385, 100
386, 100
387, 100
388, 100
389, 100
390, 100
391, 100
392, 100
393, 100
394, 100
395, 100
396, 100
397, 100
398, 100
399, 100
400, 100
401, 100
402, 100
403, 100
404, 100
405, 100
406, 100
407, 100
408, 100
409, 100
410, 100
411, 100
412, 100
413, 100
414, 100
415, 100
416, 100
417, 100
418, 100
419, 100
420, 100
421, 100
422, 100
423, 100
424, 100
425, 100
426, 100
427, 100
428, 100
429, 100
430, 100
431, 100
432, 100
433, 100
434, 100
435, 100
436, 100
437, 100
438, 100
439, 100
440, 100
441, 100
442, 100
443, 100
444, 100
445, 100
446, 100
447, 100
448, 100
449, 100
450, 100
451, 100
452, 100
453, 100
454, 100
455, 100
456, 100
457, 100
458, 100
459, 100
460, 100
461, 100
462, 100
463, 100
464, 100
465, 100
466, 100
467, 100
468, 100
469, 100
470, 100
471, 100
472, 100
473, 100
474, 100
475, 100
476, 100
477, 100
478, 100
479, 100
480, 100
481, 100
482, 100
483, 100
484, 100
485, 100
486, 100
487, 100
488, 100
489, 100
490, 100
491, 100
492, 100
493, 100
494, 100
495, 100
496, 100
497, 100
498, 100
499, 100
500, 100
501, 100
502, 100
503, 100
504, 100
505, 100
506, 100
507, 100
508, 100
509, 100
510, 100
511, 100
512, 100
513, 100
514, 100
515, 100
516, 100
517, 100
518, 100
519, 100
520, 100
521, 100
522, 100
523, 100
524, 100
525, 100
526, 100
527, 100
528, 100
529, 100
530, 100
531, 100
532, 100
533, 100
534, 100
535, 100
536, 100
537, 100
538, 100
539, 100
540, 100
541, 100
542, 100
543, 100
544, 100
545, 100
546, 100
547, 100
548, 100
549, 100
550, 100
551, 100
552, 100
553, 100
554, 100
555, 100
556, 100
557, 100
558, 100
559, 100
560, 100
561, 100
562, 100
563, 100
564, 100
565, 100
566, 100
567, 100
568, 100
569, 100
570, 100
571, 100
572, 100
573, 100
574, 100
575, 100
576, 100
577, 100
578, 100
579, 100
580, 100
581, 100
582, 100
583, 100
584, 100
585, 100
586, 100
587, 100
588, 100
589, 100
590, 100
591, 100
592, 100
593, 100
594, 100
595, 100
596, 100
597, 100
598, 100
599, 100
600, 100
601, 100
602, 100
603, 100
604, 100
605, 100
606, 100
607, 100
608, 100
609, 100
610, 100
611, 100
612, 100
613, 100
614, 100
615, 100
616, 100
617, 100
618, 100
619, 100
620, 100
621, 100
622, 100
623, 100
624, 100
625, 100
626, 100
627, 100
628, 100
629, 100
630, 100
631, 100
632, 100
633, 100
634, 100
635, 100
636, 100
637, 100
638, 100
639, 100
640, 100
641, 100
642, 100
643, 100
644, 100
645, 100
646, 100
647, 100
648, 100
649, 100
650, 100
651, 100
652, 100
653, 100
654, 100
655, 100
656, 100
657, 100
658, 100
659, 100
660, 100
661, 100
662, 100
663, 100
664, 100
665, 100
666, 100
667, 100
668, 100
669, 100
670, 100
671, 100
672, 100
673, 100
674, 100
675, 100
676, 100
677, 100
678, 100
679, 100
680, 100
681, 100
682, 100
683, 100
684, 100
685, 100
686, 100
687, 100
688, 100
689, 100
690, 100
691, 100
692, 100
693, 100
694, 100
695, 100
696, 100
697, 100
698, 100
699, 100
700, 100
701, 100
702, 100
703, 100
704, 100
705, 100
706, 100
707, 100
708, 100
709, 100
710, 100
711, 100
712, 100
713, 100
714, 100
715, 100
716, 100
717, 100
718, 100
719, 100
720, 100
721, 100
722, 100
723, 100
724, 100
725, 100
726, 100
727, 100
728, 100
729, 100
730, 100
731, 100
732, 100
733, 100
734, 100
735, 100
736, 100
737, 100
738, 100
739, 100
740, 100
741, 100
742, 100
743, 100
744, 100
745, 100
746, 100
747, 100
748, 100
749, 100
750, 100
751, 100
752, 100
753, 100
754, 100
755, 100
756, 100
757, 100
758, 100
759, 100
760, 100
761, 100
762, 100
763, 100
764, 100
765, 100
766, 100
767, 100
768, 100
769, 100
770, 100
771, 100
772, 100
773, 100
774, 100
775, 100
776, 100
777, 100
778, 100
779, 100
780, 100
781, 100
782, 100
783, 100
784, 100
785, 100
786, 100
787, 100
788, 100
789, 100
790, 100
791, 100
792, 100
793, 100
794, 100
795, 100
796, 100
797, 100
798, 100
799, 100
800, 100
801, 100
802, 100
803, 100
804, 100
805, 100
806, 100
807, 100
808, 100
809, 100
810, 100
811, 100
812, 100
813, 100
814, 100
815, 100
816, 100
817, 100
818, 100
819, 100
820, 100
821, 100
822, 100
823, 100
824, 100
825, 100
826, 100
827, 100
828, 100
829, 100
830, 100
831, 100
832, 100
833, 100
834, 100
835, 100
836, 100
837, 100
838, 100
839, 100
840, 100
841, 100
842, 100
843, 100
844, 100
845, 100
846, 100
847, 100
848, 100
849, 100
850, 100
851, 100
852, 100
853, 100
854, 100
855, 100
856, 100
857, 100
858, 100
859, 100
860, 100
861, 100
862, 100
863, 100
864, 100
865, 100
866, 100
867, 100
868, 100
869, 100
870, 100
871, 100
872, 100
873, 100
874, 100
875, 100
876, 100
877, 100
878, 100
879, 100
880, 100
881, 100
882, 100
883, 100
884, 100
885, 100
886, 100
887, 100
888, 100
889, 100
890, 100
891, 100
892, 100
893, 100
894, 100
895, 100
896, 100
897, 100
898, 100
899, 100
900, 100
901, 100
902, 100
903, 100
904, 100
905, 100
906, 100
907, 100
908, 100
909, 100
910, 100
911, 100
912, 100
913, 100
914, 100
915, 100
916, 100
917, 100
918, 100
919, 100
920, 100
921, 100
922, 100
923, 100
924, 100
925, 100
926, 100
927, 100
928, 100
929, 100
930, 100
931, 100
932, 100
933, 100
934, 100
935, 100
936, 100
937, 100
938, 100
939, 100
940, 100
941, 100
942, 100
943, 100
944, 100
945, 100
946, 100
947, 100
948, 100
949, 100
950, 100
951, 100
952, 100
953, 100
954, 100
955, 100
956, 100
957, 100
958, 100
959, 100
960, 100
961, 100
962, 100
963, 100
964, 100
965, 100
966, 100
967, 100
968, 100
969, 100
970, 100
971, 100
972, 100
973, 100
974, 100
975, 100
976, 100
977, 100
978, 100
979, 100
980, 100
981, 100
982, 100
983, 100
984, 100
985, 100
986, 100
987, 100
988, 100
989, 100
990, 100
991, 100
992, 100
993, 100
994, 100
995, 100
996, 100
997, 100
998, 100
999, 100
1000, 100
1001, 100
1002, 100
1003, 100
1004, 100
1005, 100
1006, 100
1007, 100
1008, 100
1009, 100
1010, 100
1011, 100
1012, 100
1013, 100
1014, 100
1015, 100
1016, 100
1017, 100
1018, 100
1019, 100
1020, 100
1021, 100
1022, 100
1023, 100
1024, 100
1025, 100
1026, 100
1027, 100
1028, 100
1029, 100
1030, 100
1031, 100
1032, 100
1033, 100
1034, 100
1035, 100
1036, 100
1037, 100
1038, 100
1039, 100
1040, 100
1041, 100
1042, 100
1043, 100
1044, 100
1045, 100
1046, 100
1047, 100
1048, 100
1049, 100
1050, 100
1051, 100
1052, 100
1053, 100
1054, 100
1055, 100
1056, 100
1057, 100
1058, 100
1059, 100
1060, 100
1061, 100
1062, 100
1063, 100
1064, 100
1065, 100
1066, 100
1067, 100
1068, 100
1069, 100
1070, 100
1071, 100
1072, 100
1073, 100
1074, 100
1075, 100
1076, 100
1077, 100
1078, 100
1079, 100
1080, 100
1081, 100
1082, 100
1083, 100
1084, 100
1085, 100
1086, 100
1087, 100
1088, 100
1089, 100
1090, 100
1091, 100
1092, 100
1093, 100
1094, 100
1095, 100
1096, 100
1097, 100
1098, 100
1099, 100
1100, 100
1101, 100
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:29:24#
0, 62
1, 62
2, 63
3, 64
4, 65
5, 65
6, 67
7, 67
8, 68
9, 70
10, 72
